teamstatspk;Team;games_played;wins;losses;win_percentage;Min;points;field_goals_made;field_goals_attempted;field_goal_percentage;three_pointers_made;three_pointers_attempted;three_point_percentage;free_throws_made;free_throw_attempted;free_throw_percentage;offensive_rebounds;defensive_rebounds;rebounds;assists;turnovers;steals;blocks;blocks_attempted;personal_fouls;personal_fouls_drawn;plus_minus;season;season_order;Franchise;points_pg;assists_pg;rebounds_pg;three_pa_pg;three_pm_pg
0;Boston Celtics;82;64;18;0,78;3966;9887;3601;7396;48,7;1351;3482;38,8;1334;1654;80,7;876;2923;3799;2207;979;557;538;304;1326;1416;930;2023-24;2023;Boston Celtics;120,57317073170732;26,914634146341463;46,329268292682926;42,46341463414634;16,475609756097562
1;Denver Nuggets;82;57;25;0,695;3941;9418;3610;7279;49,6;958;2560;37,4;1240;1628;76,2;881;2762;3643;2415;1036;585;456;394;1489;1467;431;2023-24;2023;Denver Nuggets;114,85365853658537;29,451219512195124;44,426829268292686;31,21951219512195;11,682926829268293
2;Oklahoma City Thunder;82;57;25;0,695;3961;9847;3653;7324;49,9;1090;2805;38,9;1451;1759;82,5;722;2725;3447;2223;1039;694;538;419;1545;1548;608;2023-24;2023;Oklahoma City Thunder;120,08536585365853;27,109756097560975;42,03658536585366;34,207317073170735;13,292682926829269
3;Minnesota Timberwolves;82;56;26;0,683;3961;9264;3383;6974;48,5;1037;2681;38,7;1461;1881;77,7;770;2807;3577;2184;1162;647;497;371;1544;1630;529;2023-24;2023;Minnesota Timberwolves;112,97560975609755;26,634146341463413;43,6219512195122;32,69512195121951;12,646341463414634
4;LA Clippers;82;51;31;0,622;3941;9481;3473;7108;48,9;1036;2719;38,1;1499;1817;82,5;822;2701;3523;2097;1078;640;413;384;1519;1537;269;2023-24;2023;LA Clippers;115,6219512195122;25,573170731707318;42,96341463414634;33,15853658536585;12,634146341463415
5;Dallas Mavericks;82;50;32;0,61;3941;9664;3535;7352;48,1;1197;3242;36,9;1397;1842;75,8;797;2724;3521;2106;1027;563;406;331;1500;1667;181;2023-24;2023;Dallas Mavericks;117,85365853658537;25,682926829268293;42,9390243902439;39,53658536585366;14,597560975609756
6;New York Knicks;82;50;32;0,61;3946;9249;3385;7272;46,5;1083;2936;36,9;1396;1789;78,0;1039;2665;3704;1998;1085;612;336;431;1447;1565;376;2023-24;2023;New York Knicks;112,79268292682927;24,365853658536587;45,170731707317074;35,80487804878049;13,207317073170731
7;Milwaukee Bucks;82;49;33;0,598;3961;9756;3538;7258;48,7;1163;3122;37,3;1517;1960;77,4;772;2850;3622;2176;1059;558;413;347;1574;1576;215;2023-24;2023;Milwaukee Bucks;118,97560975609755;26,536585365853657;44,170731707317074;38,073170731707314;14,182926829268293
8;New Orleans Pelicans;82;49;33;0,598;3941;9436;3484;7165;48,6;1023;2673;38,3;1445;1873;77,1;852;2753;3605;2210;1067;684;378;424;1508;1506;362;2023-24;2023;New Orleans Pelicans;115,07317073170732;26,951219512195124;43,96341463414634;32,59756097560975;12,475609756097562
9;Phoenix Suns;82;49;33;0,598;3956;9532;3482;7063;49,3;1020;2671;38,2;1548;1915;80,8;831;2783;3614;2218;1221;610;492;372;1475;1612;251;2023-24;2023;Phoenix Suns;116,2439024390244;27,048780487804876;44,073170731707314;32,573170731707314;12,439024390243903
10;Cleveland Cavaliers;82;48;34;0,585;3961;9236;3425;7148;47,9;1108;3016;36,7;1278;1671;76,5;808;2742;3550;2299;1112;605;380;410;1436;1536;198;2023-24;2023;Cleveland Cavaliers;112,63414634146342;28,036585365853657;43,292682926829265;36,78048780487805;13,512195121951219
11;Indiana Pacers;82;47;35;0,573;3941;10110;3855;7599;50,7;1082;2891;37,4;1318;1685;78,2;827;2578;3405;2522;1059;631;481;440;1756;1501;250;2023-24;2023;Indiana Pacers;123,29268292682927;30,75609756097561;41,52439024390244;35,25609756097561;13,195121951219512
12;Los Angeles Lakers;82;47;35;0,573;3971;9679;3580;7177;49,9;969;2572;37,7;1550;1983;78,2;676;2859;3535;2339;1146;605;453;390;1283;1619;49;2023-24;2023;Los Angeles Lakers;118,03658536585365;28,524390243902438;43,109756097560975;31,365853658536587;11,817073170731707
13;Orlando Magic;82;47;35;0,573;3956;9058;3318;6964;47,6;903;2568;35,2;1519;2002;75,9;861;2608;3469;2023;1206;669;423;379;1618;1710;166;2023-24;2023;Orlando Magic;110,46341463414635;24,670731707317074;42,30487804878049;31,317073170731707;11,012195121951219
14;Philadelphia 76ers;82;47;35;0,573;3956;9397;3404;7331;46,4;992;2733;36,3;1597;1934;82,6;906;2616;3522;2041;984;694;492;503;1668;1519;250;2023-24;2023;Philadelphia 76ers;114,59756097560975;24,890243902439025;42,951219512195124;33,329268292682926;12,097560975609756
15;Golden State Warriors;82;46;36;0,561;3966;9657;3582;7515;47,7;1211;3191;38,0;1282;1644;78,0;996;2834;3830;2402;1174;572;377;407;1598;1471;214;2023-24;2023;Golden State Warriors;117,76829268292683;29,29268292682927;46,707317073170735;38,91463414634146;14,768292682926829
16;Miami Heat;82;46;36;0,561;3951;9032;3266;7022;46,5;1022;2765;37,0;1478;1806;81,8;766;2702;3468;2116;1038;617;280;388;1415;1550;144;2023-24;2023;Miami Heat;110,14634146341463;25,804878048780488;42,292682926829265;33,71951219512195;12,463414634146341
17;Sacramento Kings;82;46;36;0,561;3971;9558;3553;7455;47,7;1178;3219;36,6;1274;1710;74,5;888;2719;3607;2324;1078;625;342;370;1632;1504;143;2023-24;2023;Sacramento Kings;116,5609756097561;28,341463414634145;43,98780487804878;39,25609756097561;14,365853658536585
18;Houston Rockets;82;41;41;0,5;3971;9375;3425;7459;45,9;1043;2964;35,2;1482;1916;77,3;940;2787;3727;2035;1045;639;375;482;1702;1609;92;2023-24;2023;Houston Rockets;114,32926829268293;24,817073170731707;45,451219512195124;36,146341463414636;12,71951219512195
19;Chicago Bulls;82;39;43;0,476;3996;9206;3448;7339;47,0;941;2630;35,8;1369;1731;79,1;916;2677;3593;2048;1004;638;394;404;1541;1538;-118;2023-24;2023;Chicago Bulls;112,26829268292683;24,975609756097562;43,81707317073171;32,073170731707314;11,475609756097562
